Commodity,Unit,Min Price,Max Price,Avg Price,Date
मूला सेतो(लोकल),के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
सेतो मूला(हाइब्रीड),केजी,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
भन्टा लाम्चो,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
भन्टा डल्लो,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
बोडी(तने),के.जी.,रू १२०.००,रू १३०.००,रू १२५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
मकै बोडी,केजी,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
मटरकोशा,के.जी.,रू १४०.००,रू १६०.००,रू १५०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
घिउ सिमी(लोकल),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
घिउ सिमी(हाइब्रीड),केजी,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
घिउ सिमी(राजमा),केजी,रू १३०.००,रू १४०.००,रू १३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
टाटे सिमी,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
भटमासकोशा,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
तितो करेला,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
लौका,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
परवर(लोकल),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
चिचिण्डो,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
घिरौला,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
फर्सी पाकेको,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
फर्सी हरियो(लाम्चो),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
हरियो फर्सी(डल्लो),केजी,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
सलगम,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
भिण्डी,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
सखरखण्ड,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
बरेला,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
पिंडालू,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
स्कूस,के.जी.,रू २०.००,रू ३०.००,रू २५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
रायो साग,के.जी.,रू ८०.००,रू १००.००,रू ९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
पालूगो साग,के.जी.,रू १५०.००,रू २००.००,रू १७६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
चमसूरको साग,के.जी.,रू १५०.००,रू २००.००,रू १७६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
तोरीको साग,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
मेथीको साग,के.जी.,रू १५०.००,रू २००.००,रू १७६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
प्याज हरियो,के.जी.,रू १५०.००,रू २००.००,रू १७६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
च्याउ(कन्य),के.जी.,रू १२०.००,रू १४०.००,रू १३०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
च्याउ(डल्ले),के जी,रू ३००.००,रू ३५०.००,रू ३२६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
कुरीलो,के.जी.,रू ७००.००,रू ९००.००,रू ८००.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
ब्रोकाउली,के.जी.,रू १५०.००,रू १९०.००,रू १७३.३३,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
चुकुन्दर,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
रातो बन्दा,के.जी.,रू १४०.००,रू १५०.००,रू १४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
जिरीको साग,के.जी.,रू १२०.००,रू १५०.००,रू १३६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
सेलरी,के.जी.,रू ५००.००,रू ६००.००,रू ५५०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
पार्सले,के.जी.,"रू १,५००.००","रू १,८००.००","रू १,६५०.००","दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
पुदीना,के.जी.,रू ६००.००,रू ७००.००,रू ६५०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
गान्टे मूला,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
इमली,के.जी.,रू १४०.००,रू १६०.००,रू १५०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
तामा,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
तोफु,के.जी.,रू ११०.००,रू १२०.००,रू ११५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
गुन्दुक,के.जी.,रू २५०.००,रू ३००.००,रू २७६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
स्याउ(झोले),के.जी.,रू २४०.००,रू २६०.००,रू २५०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
स्याउ(फूजी),के जी,रू २८०.००,रू ३००.००,रू २९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
केरा,दर्जन,रू १४०.००,रू १५०.००,रू १४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
कागती,के.जी.,रू १५०.००,रू १७०.००,रू १६०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
अनार,के.जी.,रू ४५०.००,रू ४८०.००,रू ४६६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
अंगुर(कालो),केजी,रू ३८०.००,रू ४००.००,रू ३९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
सुन्तला(नेपाली),के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
सुन्तला(भारतीय),केजी,रू १००.००,रू १२०.००,रू ११०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
तरबुजा(हरियो),के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
मौसम,के.जी.,रू १५०.००,रू १६०.००,रू १५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
जुनार,के.जी.,रू ३००.००,रू ३५०.००,रू ३२६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
भुई कटहर,प्रति गोटा,रू १८०.००,रू २००.००,रू १९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
काक्रो(लोकल),के.जी.,रू १९०.००,रू २००.००,रू १९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
काक्रो(हाइब्रीड),के जी,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
निबुवा,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
नासपाती(चाइनिज),केजी,रू २३०.००,रू २५०.००,रू २४०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
मेवा(नेपाली),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
मेवा(भारतीय),केजी,रू १००.००,रू १२०.००,रू ११०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
अम्बा,के.जी.,रू १५०.००,रू १८०.००,रू १६६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
लप्सी,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
किवि,केजी,रू २००.००,रू २५०.००,रू २२६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
शरीफा,के‍.जी,रू १५०.००,रू २००.००,रू १७६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
आभोकाडो,के.जी,रू २००.००,रू २५०.००,रू २२६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
अमला,के.जी,रू ७०.००,रू ८०.००,रू ७५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
अदुवा,के.जी.,रू २००.००,रू २१०.००,रू २०५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
खु्र्सानी सुकेको,के.जी.,रू ४००.००,रू ४३०.००,रू ४१६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
खु्र्सानी हरियो,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
खुर्सानी हरियो(बुलेट),के जी,रू १३०.००,रू १५०.००,रू १४०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
खुर्सानी हरियो(अकबरे),के जी,रू २५०.००,रू ३००.००,रू २७६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
भेडे खु्र्सानी,के.जी.,रू १३०.००,रू १४०.००,रू १३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
लसुन हरियो,के.जी.,रू २५०.००,रू ३००.००,रू २७६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
हरियो धनिया,के.जी.,रू २५०.००,रू ३००.००,रू २७६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
लसुन सुकेको चाइनिज,के.जी.,रू ३१०.००,रू ३३०.००,रू ३२०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
लसुन सुकेको नेपाली,के.जी.,रू ३३०.००,रू ३५०.००,रू ३४०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
छ्यापी सुकेको,के.जी.,रू १४०.००,रू १६०.००,रू १५०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
छ्यापी हरियो,के.जी.,रू ३००.००,रू ३५०.००,रू ३२६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
ताजा माछा(रहु),के जी,रू ३४५.००,रू ३६०.००,रू ३५१.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
ताजा माछा(बचुवा),के जी,रू २५०.००,रू २८०.००,रू २६६.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
ताजा माछा(छडी),के जी,रू २४०.००,रू २८०.००,रू २६०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
रुख टमाटर,केजी,रू १४०.००,रू १५०.००,रू १४५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
राजा च्याउ,के.जी.,रू २८०.००,रू ३००.००,रू २९०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
